1,139,7739
2,132,7752
3,138,7752
4,138,7767
5,154,7760
6,148,7767
7,153,7762
8,144,7735
9,137,7772
10,157,7764
11,133,7757
12,149,7756
13,110,7796
14,151,7741
15,151,7755
16,132,7767
17,144,7787
18,157,7753
19,148,7764
20,138,7790
21,141,7778
22,173,7765
23,149,7757
24,133,7782
25,123,7741
26,186,7770
27,143,7745
28,137,7752
29,149,7743
30,142,7754
31,157,7745
32,150,7752
33,149,7839
34,173,7873
35,144,7868
36,166,7852
37,130,7875
38,123,7876
39,136,7881
40,138,7877
41,139,7912
42,147,7883
43,144,7882
44,136,7890
45,122,7916
46,144,7891
47,168,7894
48,135,7924
49,152,7892
50,165,7860
51,168,7877
52,176,7882
53,138,7897
54,127,7866
55,152,7872
56,127,7891
57,139,7867
58,155,7877
59,135,7869
60,159,7858
61,141,7854
62,184,7864
63,160,7877
64,160,7853
65,172,7857
66,114,7870
67,137,7885
68,127,7868
69,127,7865
70,132,7878
71,117,7879
72,121,7862
73,104,7903
74,137,7862
75,130,7862
76,133,7888
77,110,7889
78,135,7865
79,102,7864
80,120,7884
81,139,7885
82,153,7861
83,125,7863
84,155,7884
85,130,7875
86,131,7866
87,149,7870
88,125,7884
89,137,7874
90,130,7894
91,138,7878
92,100,7869
93,137,7876
94,155,7888
95,145,7865
96,121,7855
97,142,7815
98,160,7826
99,159,7823
100,157,7816
101,181,7820
102,133,7837
103,118,7823
104,144,7810
105,141,7825
106,141,7813
107,145,7820
108,140,7839
109,131,7857
110,160,7813
111,125,7819
112,164,7850
113,157,7804
114,145,7811
115,158,7795
116,134,7809
117,137,7807
118,166,7795
119,162,7805
120,166,7831
121,144,7802
122,172,7810
123,146,7809
124,111,7814
125,133,7815
126,157,7816
127,152,7808
128,128,7809

