1,6,2
2,4,6
3,-8,12
4,-1,-5
5,10,15
6,-3,-10
7,7,17
8,1,-1
9,-9,18
10,5,14
11,-13,7
12,-4,0
13,-14,-20
14,8,16
15,11,50
16,5,15
17,10,10
18,4,-3
19,-5,10
20,4,-4
21,4,-1
22,2,22
23,-1,-23
24,3,18
25,-4,-12
26,-4,3
27,-1,23
28,8,-9
29,-3,9
30,8,26
31,-22,-26
32,-8,5
33,-1,0
34,-11,-34
35,0,1
36,3,4
37,-5,-24
38,12,26
39,-12,-43
40,9,31
41,0,-13
42,-5,-15
43,8,21
44,-1,-9
45,-5,19
46,12,0
47,-6,2
48,-2,-13
49,7,-1
50,-2,-11
51,9,16
52,4,26
53,-4,4
54,8,25
55,12,-43
56,-2,28
57,-1,8
58,0,21
59,-9,-1
60,-4,-4
61,-6,-16
62,-5,-22
63,-2,-4
64,-6,3
65,5,15
66,-3,5
67,11,36
68,-5,-9
69,2,-11
70,14,17
71,-7,-10
72,-2,-8
73,4,-3
74,5,7
75,3,25
76,0,0
77,9,19
78,10,2
79,6,-1
80,17,1
81,3,3
82,-10,-38
83,7,7
84,3,14
85,3,9
86,7,22
87,6,7
88,-6,-13
89,4,7
90,7,9
91,1,16
92,-3,-15
93,-3,-29
94,4,7
95,2,23
96,7,20

